"OTU_ID","kingdom","phylum","class","order","family","genus"
"OTU17762"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Pseudopyrenochaetaceae "," Pseudopyrenochaeta "
"OTU17764"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU17765"," Fungi "," Ascomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17769"," Fungi "," Ascomycota "," Pezizomycotina_cls_Incertae_sedis "," Pezizomycotina_ord_Incertae_sedis "," Pezizomycotina_fam_Incertae_sedis "," Isthmolongispora "
"OTU17768"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU17767"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU17771"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," Cladophialophora "
"OTU17766"," Fungi "," Ascomycota "," Sordariomycetes "," Glomerellales "," Glomerellaceae "," Colletotrichum "
"OTU17770"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Lophiotremataceae "," Lophiotrema "
"OTU17776"," Fungi "," Ascomycota "," Eurotiomycetes "," Onygenales "," unidentified "," unidentified "
"OTU17774"," Fungi "," Ascomycota "," Dothideomycetes "," unidentified "," unidentified "," unidentified "
"OTU17773"," Fungi "," Ascomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17772"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Cucurbitariaceae "," Synfenestella "
"OTU17775"," Fungi "," Ascomycota "," Leotiomycetes "," unidentified "," unidentified "," unidentified "
"OTU17777"," Fungi "," Basidiomycota "," Agaricomycetes "," Agaricales "," Inocybaceae "," Inocybe "
"OTU17778"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17781"," Fungi "," Ascomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17780"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU17779"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17783"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU17784"," Fungi "," Ascomycota "," Sordariomycetes "," unidentified "," unidentified "," unidentified "
"OTU17785"," Fungi "," Basidiomycota "," Tremellomycetes "," Tremellales "," unidentified "," unidentified "
"OTU17782"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Cucurbitariaceae "," Pyrenochaeta "
"OTU17788"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
