OTU202	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3320500.08FU(1.00)	+
OTU203			
OTU205			
OTU204			
OTU208			
OTU207	k:Fungi(1.00),p:unidentified(0.81),c:unidentified(0.81),o:unidentified(0.81),f:unidentified(0.83),g:unidentified(0.83),s:Fungi_sp|SH3316286.08FU(0.80)	+
OTU206	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2720528.08FU(1.00)	+
OTU210			
OTU209	k:Fungi(1.00),p:unidentified(0.83),c:unidentified(0.83),o:unidentified(0.83),f:unidentified(0.84),g:unidentified(0.86),s:Fungi_sp|SH3316286.08FU(0.78)	+
OTU211	k:Fungi(1.00),p:unidentified(0.99),c:unidentified(0.99),o:unidentified(0.99),f:unidentified(0.99),g:unidentified(0.99),s:Fungi_sp|SH1529829.08FU(0.99)	+
OTU212	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU213			
OTU215			
OTU216			
OTU217	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH1556248.08FU(0.78)	+
OTU214	k:Fungi(1.00),p:Mortierellomycota(1.00),c:unidentified(0.28),o:unidentified(0.28),f:unidentified(1.00),g:unidentified(1.00),s:Mortierellomycota_sp|SH3343607.08FU(0.28)	+
OTU219	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU218			
OTU220	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3323993.08FU(1.00)	+
OTU221			
OTU223	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2619599.08FU(0.04)	+
OTU222	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2619590.08FU(0.52)	+
OTU224	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3232032.08FU(0.02)	+
OTU225			
OTU228			
OTU226	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3234251.08FU(1.00)	+
OTU227			
OTU229			
OTU230			
OTU233			
OTU232			
OTU231			
OTU234			
OTU235			
OTU237	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3328540.08FU(1.00)	+
